[2026-02-27 13:51:45][INFO][Server] listening on port 8080
[2026-03-05 13:19:40][INFO] [Monitor] CPU=68.843498% Mem=4.355469MB TPS=3759
[2026-03-05 13:19:41][INFO] [Monitor] CPU=75.507751% Mem=4.355469MB TPS=4576
[2026-03-05 13:19:42][INFO] [Monitor] CPU=83.071017% Mem=4.355469MB TPS=5070
[2026-03-05 13:19:43][INFO] [Monitor] CPU=70.878262% Mem=4.355469MB TPS=4867
[2026-03-05 13:19:44][INFO] [Monitor] CPU=74.963228% Mem=4.355469MB TPS=4397
[2026-03-05 13:19:45][INFO] [Monitor] CPU=76.772041% Mem=4.355469MB TPS=4432
[2026-03-05 13:19:46][INFO] [Monitor] CPU=76.846828% Mem=4.355469MB TPS=4323
[2026-03-05 13:19:47][INFO] [Monitor] CPU=72.790200% Mem=4.355469MB TPS=4379
[2026-03-05 13:19:48][INFO] [Monitor] CPU=76.972310% Mem=4.355469MB TPS=4206
[2026-03-05 13:19:49][INFO] [Monitor] CPU=79.920271% Mem=4.355469MB TPS=4481
[2026-03-05 13:19:50][INFO] [Monitor] CPU=74.977087% Mem=4.355469MB TPS=4214
[2026-03-05 13:19:51][INFO] [Monitor] CPU=77.877638% Mem=4.355469MB TPS=4672
[2026-03-05 13:19:52][INFO] [Monitor] CPU=75.861012% Mem=4.355469MB TPS=5071
[2026-03-05 13:19:53][INFO] [Monitor] CPU=70.947326% Mem=4.355469MB TPS=4339
[2026-03-05 13:19:54][INFO] [Monitor] CPU=72.961877% Mem=4.355469MB TPS=4131
[2026-03-05 13:19:55][INFO] [Monitor] CPU=77.881027% Mem=4.355469MB TPS=4315
[2026-03-05 13:19:56][INFO] [Monitor] CPU=81.918005% Mem=4.355469MB TPS=4582
[2026-03-05 13:19:57][INFO] [Monitor] CPU=75.972982% Mem=4.355469MB TPS=4366
[2026-03-05 13:19:58][INFO] [Monitor] CPU=69.909468% Mem=4.355469MB TPS=4258
[2026-03-05 13:19:59][INFO] [Monitor] CPU=78.929592% Mem=4.355469MB TPS=4546
[2026-03-05 13:20:00][INFO] [Monitor] CPU=69.970805% Mem=4.355469MB TPS=4224
[2026-03-05 13:20:01][INFO] [Monitor] CPU=73.970144% Mem=4.355469MB TPS=4233
[2026-03-05 13:20:02][INFO] [Monitor] CPU=77.923289% Mem=4.355469MB TPS=4514
[2026-03-05 13:20:03][INFO] [Monitor] CPU=77.933699% Mem=4.355469MB TPS=4662
[2026-03-05 13:20:04][INFO] [Monitor] CPU=71.900366% Mem=4.355469MB TPS=3543
[2026-03-05 13:20:05][INFO] [Monitor] CPU=76.939117% Mem=4.355469MB TPS=4121
[2026-03-05 13:20:06][INFO] [Monitor] CPU=79.925314% Mem=4.355469MB TPS=4020
[2026-03-05 13:20:07][INFO] [Monitor] CPU=79.849369% Mem=4.355469MB TPS=4321
[2026-03-05 13:20:08][INFO] [Monitor] CPU=66.136636% Mem=4.355469MB TPS=2990
[2026-03-05 13:20:09][INFO] [Monitor] CPU=79.935780% Mem=4.355469MB TPS=3880
[2026-03-05 13:20:10][INFO] [Monitor] CPU=77.921167% Mem=4.355469MB TPS=4172
[2026-03-05 13:20:11][INFO] [Monitor] CPU=67.855441% Mem=4.355469MB TPS=3682
[2026-03-05 13:20:12][INFO] [Monitor] CPU=70.867516% Mem=4.355469MB TPS=4021
[2026-03-05 13:20:13][INFO] [Monitor] CPU=71.887237% Mem=4.355469MB TPS=4010
[2026-03-05 13:20:14][INFO] [Monitor] CPU=76.945705% Mem=4.355469MB TPS=4234
[2026-03-05 13:20:15][INFO] [Monitor] CPU=61.869833% Mem=4.355469MB TPS=3216
[2026-03-05 13:20:16][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:17][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:18][INFO] [Monitor] CPU=0.999339% Mem=4.355469MB TPS=0
[2026-03-05 13:20:19][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:20][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:21][INFO] [Monitor] CPU=0.998723% Mem=4.355469MB TPS=0
[2026-03-05 13:20:22][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:23][INFO] [Monitor] CPU=0.999005% Mem=4.355469MB TPS=0
[2026-03-05 13:20:24][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:25][INFO] [Monitor] CPU=1.998394% Mem=4.355469MB TPS=0
[2026-03-05 13:20:26][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:28][INFO] [Monitor] CPU=0.998103% Mem=4.355469MB TPS=0
[2026-03-05 13:20:29][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:30][INFO] [Monitor] CPU=0.999413% Mem=4.355469MB TPS=0
[2026-03-05 13:20:31][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:32][INFO] [Monitor] CPU=0.998062% Mem=4.355469MB TPS=0
[2026-03-05 13:20:33][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:34][INFO] [Monitor] CPU=1.996785% Mem=4.355469MB TPS=0
[2026-03-05 13:20:35][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:36][INFO] [Monitor] CPU=0.999181% Mem=4.355469MB TPS=0
[2026-03-05 13:20:37][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:38][INFO] [Monitor] CPU=0.997784% Mem=4.355469MB TPS=0
[2026-03-05 13:20:39][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:40][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:41][INFO] [Monitor] CPU=0.997870% Mem=4.355469MB TPS=0
[2026-03-05 13:20:42][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:43][INFO] [Monitor] CPU=0.998690% Mem=4.355469MB TPS=0
[2026-03-05 13:20:44][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:45][INFO] [Monitor] CPU=1.998388% Mem=4.355469MB TPS=0
[2026-03-05 13:20:46][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:47][INFO] [Monitor] CPU=0.999337% Mem=4.355469MB TPS=0
[2026-03-05 13:20:48][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:49][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:50][INFO] [Monitor] CPU=0.999333% Mem=4.355469MB TPS=0
[2026-03-05 13:20:51][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:52][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:53][INFO] [Monitor] CPU=0.998680% Mem=4.355469MB TPS=0
[2026-03-05 13:20:54][INFO] [Monitor] CPU=0.998972% Mem=4.355469MB TPS=0
[2026-03-05 13:20:55][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:56][INFO] [Monitor] CPU=0.998880% Mem=4.355469MB TPS=0
[2026-03-05 13:20:57][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:20:58][INFO] [Monitor] CPU=0.995960% Mem=4.355469MB TPS=0
[2026-03-05 13:20:59][INFO] [Monitor] CPU=0.999461% Mem=4.355469MB TPS=0
[2026-03-05 13:21:00][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:01][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:02][INFO] [Monitor] CPU=0.999124% Mem=4.355469MB TPS=0
[2026-03-05 13:21:03][INFO] [Monitor] CPU=0.999372% Mem=4.355469MB TPS=0
[2026-03-05 13:21:04][INFO] [Monitor] CPU=0.998709% Mem=4.355469MB TPS=0
[2026-03-05 13:21:05][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:06][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
[2026-03-05 13:21:07][INFO] [Monitor] CPU=0.999211% Mem=4.355469MB TPS=0
[2026-03-05 13:21:08][INFO] [Monitor] CPU=0.000000% Mem=4.355469MB TPS=0
